Item1,relation,Item2
乌克兰人,instance of,区域居民称谓词
博登湖,basin country,瑞士
宋太宗,position held,中国皇帝
雅尔塔,country,拜占庭帝国
塞尔维亚,diplomatic relation,斯洛文尼亚
新兴市场,criterion used,国内生产总值
ISO,affiliation,联合国经济及社会理事会
澳,participant of,朝鲜战争
毕达哥拉斯,occupation,政治人物
秦悼武王,sibling,秦昭襄王
二氧化锰,has part,锰
舒城县,located in the administrative territorial entity,六安市
普陀区,country,中华人民共和国
点,different from,顶点
维克多·雨果,native language,法语
政治地理学,subclass of,地理学
理学,instance of,学位
致癌物质,has effect,肿瘤
奥尔良,capital of,中央
北京市政府,country,中华人民共和国
罗素,educated at,剑桥大学
单位球,subclass of,集合
或,catalog,通用规范汉字表
西加里曼丹省,located in the administrative territorial entity,印度尼西亚
解,writing system,汉字
密西西比河,instance of,河流
黎巴嫩,shares border with,以色列
云物理学,subclass of,气象学
甘州,instance of,州
斯洛文尼亚,diplomatic relation,德国
泰国,member of,东南亚国家联盟
宣太后,family name,芈
斯德哥尔摩,twinned administrative body,维尔纽斯
南斯拉夫社会主义联邦共和国,named after,南斯拉夫
中华民国,diplomatic relation,阿尔巴尼亚
班固,occupation,政治人物
帕吉勒提河,country,印度
磅力,measured physical quantity,力
世宗,country of citizenship,朝鲜王朝
沣河,instance of,河流
智,facet of,印度教
嘌呤,instance of,化合物
太平岛,located in or next to body of water,太平洋
缅甸,diplomatic relation,印度
柘荣,located in the administrative territorial entity,宁德市
西游记,characters,唐三藏
枞阳县,country,中华人民共和国
新近纪,has part,中新世
约瑟夫·斯大林,work location,莫斯科
孟加拉,diplomatic relation,海地
法文,country,比利时
后周,continent,亚洲
盐城市,part of,江苏省
塞尔维亚,diplomatic relation,伊拉克
电磁学,subclass of,物理学
德国,diplomatic relation,卢森堡
红树林,subclass of,生物群系
汕尾,country,中华人民共和国
高宗,child,唐睿宗
约翰·洛克,languages spoken written or signed,拉丁语
大不列颠及北爱尔兰联合王国,diplomatic relation,纳米比亚
英特尔,product or material produced,微处理器
阿拉伯联合酋长国,diplomatic relation,阿曼
百科全书,subclass of,工具书
非洲之角,country,索马里
荷兰王国,diplomatic relation,加拿大
硒,location of discovery,瑞典
汉桓帝,position held,中国皇帝
澳,shares border with,新西兰
马哈拉施特拉邦,shares border with,古吉拉特邦
沈阳,twinned administrative body,都灵
克钦邦,shares border with,云南省
经线,terminus,北极点
家庭,subclass of,制度
雷恩,instance of,大城市
纳西族,instance of,族群
阿美利哥·维斯普西,occupation,探险家
袁州,instance of,州
阿勒曼尼语,country,奥地利
婴儿,sex or gender,男性
运动,practiced by,运动员
斯宾诺莎,movement,理性主义
约瑟夫·戈培尔,member of political party,纳粹党
耶路撒冷,twinned administrative body,布拉迪斯拉发
方解石,named after,石灰
阿拉伯半岛,located in or next to body of water,亚喀巴湾
病原菌,subclass of,病原体
氧化铁,instance of,化合物
巴塞罗那,twinned administrative body,胡志明市
潮汐力,instance of,引力
保加利亚,diplomatic relation,爱沙尼亚
邯郸,twinned administrative body,帕多瓦
荨麻科,taxon rank,科
梵蒂冈,enclave within,罗马
第一次世界大战,location,非洲
科索沃战争,participant,捷克
侵华日军,has part,华北方面军
IE,basic form of government,共和制
感官,use,知觉
汉光武帝,position held,皇帝
地球化学,subclass of,地球科学
边,has facet polytope,顶点
易北河,origin of the watercourse,捷克
四则运算,part of,数学
雅典,twinned administrative body,西安市
上海地铁11号线,country,中华人民共和国
北冰洋,basin country,俄罗斯
尼古拉·特斯拉,languages spoken written or signed,德语
中华人民共和国,diplomatic relation,毛里求斯
拉脱维亚,diplomatic relation,丹麦
血液,has part,血浆
伊朗,diplomatic relation,吉尔吉斯斯坦
丹麦,diplomatic relation,土耳其
湘江,drainage basin,长江流域
女性,part of,家庭
忽必烈,position held,中国皇帝
马其顿共和国,diplomatic relation,保加利亚
丹麦,diplomatic relation,摩尔多瓦
中野董夫,country of citizenship,日本
别号,subclass of,化名
法属圭亚那,located in or next to body of water,大西洋
气体,different from,天然气
汉堡,twinned administrative body,上海市
漆器,material used,木材
南非,railway traffic side,左
莱比锡,twinned administrative body,汉诺威
马耳他,shares border with,意大利
果糖,has part,碳
澳,language used,希腊语
灵璧,located in the administrative territorial entity,宿州市
俄国,diplomatic relation,乌拉圭
陆地,different from,地球
塞尔维亚,diplomatic relation,墨西哥
果蝇,taxon rank,属
夏威夷,exclave of,美国
西非,has part,毛里塔尼亚
乌干达,diplomatic relation,印度
天后,cause of death,疾病
死海,basin country,以色列
佩滕省,country,危地马拉
石油,subclass of,化石燃料
避讳,subclass of,禁忌
巴基斯坦,diplomatic relation,吉尔吉斯斯坦
歌唱,practiced by,歌手
纽西兰,instance of,主权国家
布哈拉,located in the administrative territorial entity,乌兹别克苏维埃社会主义共和国
莫斯科,twinned administrative body,维尔纽斯
重子,subclass of,强子
诺贝尔奖,has part,诺贝尔化学奖
卢梭,occupation,作曲家
水汽,instance of,物质状态
印尼,diplomatic relation,柬埔寨
马尔代夫,country,马尔代夫
恰克图,instance of,城市
京九铁路,located in the administrative territorial entity,北京市
瑞士,diplomatic relation,埃及
白细胞,part of,血液
当代史,subclass of,历史
路易斯结构,subclass of,化学式
不丹,diplomatic relation,印度
前南斯拉夫,instance of,主权国家
丹灶,located in the administrative territorial entity,南海区
北亚,shares border with,东亚
转世,facet of,佛教
新柔长堤,country,马来西亚
共识决策法,instance of,方法
欧洲,has part,东南欧
江户,capital of,日本
太平岛,territory claimed by,越南
神名,instance of,神名
汶莱,diplomatic relation,德国
古希腊喜剧,culture,古希腊
无明,part of,佛教
盖尔曼,nominated for,诺贝尔物理学奖
德国,diplomatic relation,伊拉克
剑门关,country,中华人民共和国
咸丰皇帝,sex or gender,男性
近代汉语,subclass of,古代汉语
最高点,part of,丘
蒂宾根,located in or next to body of water,内卡河
纳米比亚,diplomatic relation,俄罗斯
克洛诺斯,sibling,瑞亚
东南亚国家,shares border with,巴布亚新几内亚
法属圣马丁,island of location  (DEPRECATED),圣马丁岛
塞维利亚主教座堂,located in the administrative territorial entity,塞维利亚
武威市,located in the administrative territorial entity,甘肃省
服装,subclass of,产品
醛,has part,侧链
中央邦,shares border with,北方邦
阿拉贡,country,西班牙
莫三比克,located on terrain feature,南部非洲
民国,diplomatic relation,危地马拉
中国共产党中央委员会主席,organisation directed from the office or person,中国共产党
消息,part of,计算机科学
有机体,uses,水
莫斯科州,shares border with,莫斯科
南罗德西亚,official language,英语
黎巴嫩,member of,联合国
皇甫谧,sex or gender,男性
拉丁美洲,has part,海地
郑樵,place of birth,莆田市
马太,sex or gender,男性
常州,shares border with,苏州市
柏林,twinned administrative body,北京市
比利时,diplomatic relation,以色列
科罗拉多州,capital,丹佛
尼日尔河,country,贝宁
玉林,located in the administrative territorial entity,广西壮族自治区
魏冉,family name,魏
太仓,country,中华人民共和国
世界语,influenced by,俄语
斯洛文尼亚社会主义共和国,located in the administrative territorial entity,南斯拉夫社会主义联邦共和国
塞尔维亚,diplomatic relation,越南
亚当·斯密,occupation,经济学家
有机酸,has part,碳
百事可乐,manufacturer,百事公司
伊朗,diplomatic relation,英国
戈尔巴乔夫,position held,苏联共产党中央委员会总书记
土耳其,diplomatic relation,美国
桐,country of origin,唐朝
巴苏陀兰,religion,基督教
沙俄,significant event,日俄战争
溶质,subclass of,化学物质
夏尔·戴高乐,position held,主席
中华民国,diplomatic relation,索马里
坦桑尼亚,diplomatic relation,印度
中东,has part,巴勒斯坦
英美法系,opposite of,成文法
醋酸钠,has part,碳
丹麦,diplomatic relation,乌干达
冷水滩区,instance of,区
英国首相,subclass of,总理
科威特,diplomatic relation,阿拉伯联合酋长国
爱国,country,赞比亚
科索沃战争,participant,波兰
计算机软件,subclass of,产业
大清,shares border with,俄罗斯帝国
伯里克利,time period,古典时代
汉惠帝,father,刘邦
美国农业,country,美国
巴拿马,diplomatic relation,孟加拉国
孟加拉,diplomatic relation,马来西亚
喀戎,father,克洛诺斯
欧洲联盟,diplomatic relation,乍得
大清,contains administrative territorial entity,江西省
深圳,shares border with,香港
敖德萨州,official language,俄语
拉美西斯一世,position held,法老
松球,instance of,生殖器
更新世,follows,上新世
狄那里克阿尔卑斯山脉,instance of,山脉
利比亚,diplomatic relation,埃及
爱尔兰语,writing system,拉丁文字
克里斯托弗·哥伦布,occupation,探险家
南亚次大陆,has part,巴基斯坦
沪昆铁路,country,中华人民共和国
菲律宾,language used,英语
韦昭,country of citizenship,中国
南欧,has part,安道尔
安达曼海,instance of,海
杜鲁门,position held,美国总统
德川光圀,religion,儒家
理查德·费曼,occupation,作家
罪犯,manifestation of,罪行
CH,official language,罗曼什语
碳酸氢盐,has part,碳
叙利亚,diplomatic relation,朝鲜民主主义人民共和国
程颐,sibling,程颢
物件,has quality,位置
幕阜山,instance of,山脉
纽伦堡,instance of,大城市
塞纳-马恩省,shares border with,瓦勒德瓦兹省
缅甸,shares border with,泰国
政党,subclass of,法人
韦昭,religion,儒家
秦孝文王,father,秦昭襄王
巴基斯坦,diplomatic relation,比利时
朝鲜,diplomatic relation,加拿大
咸,continent,北美洲
官话,has dialect (DEPRECATED),西南官话
印尼,continent,亚洲
马努斯省,country,巴布亚新几内亚
哥伦比亚,diplomatic relation,以色列
类,different from,纲
顺昌,country,中华人民共和国
阿塞拜疆,continent,欧洲
卡尔梅克语,subclass of,蒙古语族
博雅教育,has part,音乐
格鲁吉亚,diplomatic relation,大韩民国
不列颠,shares border with,丹麦
马克斯·韦伯,field of work,宗教社会学
中华民国,member of,世界贸易组织
董卓,country of citizenship,东汉
汉书,instance of,图书
维他斯·白令,languages spoken written or signed,丹麦语
古近纪,follows,白垩纪
伊拉克,diplomatic relation,朝鲜民主主义人民共和国
阿拉贡王国,time period,中世纪
北方邦,shares border with,中央邦
拓拔珪,father,拓跋寔
最高领导人,position held,中国共产党中央军事委员会主席
莱辛,native language,德语
丹麦,diplomatic relation,芬兰
缩放,subclass of,线性映射
罗马人,country,古罗马
克罗地亚,diplomatic relation,蒙古国
普拉多博物馆,located in the administrative territorial entity,马德里
以色列,diplomatic relation,苏联
丹麦,diplomatic relation,德国
纽约,located in or next to body of water,大西洋
澳,ethnic group,印度人
剧作家,subclass of,作家
核酸,subclass of,生物聚合物
棉兰老,located in the administrative territorial entity,菲律宾
巴基斯坦,deepest point,阿拉伯海
古生代,followed by,中生代
阿塞拜疆语,part of,突厥语族
陈,different from,陈
时间点,part of,时间
毛泽东,country of citizenship,清朝
毛利,language of work or name,日语
哈瓦那,twinned administrative body,马德里
白俄罗斯,diplomatic relation,意大利
冷媒,facet of,热力学
唐叔虞,father,周武王
凝华,has effect,固体
蔡元培,sex or gender,男性
胡志明市,located in the administrative territorial entity,越南
社会党,country,法国
台湾,diplomatic relation,阿富汗
京都都市圈,country,日本
